Date,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
8/17/20,Alabama,US,8/18/20 4:30,32.3182,-86.9023,109004,1925,41523,65556,1,2223.126396,852923,12958,1.765990239,84000001,USA,17395.2849,11.88763715
8/17/20,Alaska,US,8/18/20 4:30,61.3707,-152.4044,4309,28,1432,2849,2,589.0273326,305648,,0.649802738,84000002,USA,41781.16179,
8/17/20,Arizona,US,8/18/20 4:30,33.7298,-111.4312,194005,4506,27800,161699,4,2665.373582,1098388,20756,2.322620551,84000004,USA,15090.40673,10.69869333
8/17/20,Virginia,US,8/18/20 4:30,37.7693,-78.17,107421,2385,13827,91209,51,1258.517496,1373442,15000,2.220236267,84000051,USA,16090.90203,13.9637501
8/17/20,Washington,US,8/18/20 4:30,47.4009,-121.4905,67721,1785,,65936,53,889.3230673,1017568,6255,2.635814592,84000053,USA,13362.86669,9.236425924
8/17/20,West Virginia,US,8/18/20 4:30,38.4912,-80.9545,8641,160,6531,1950,54,482.1591086,360839,,1.851637542,84000054,USA,20134.45326,
8/17/20,Wisconsin,US,8/18/20 4:30,44.2685,-89.6165,66196,1039,56602,8555,55,1136.912844,1136755,5327,1.569581244,84000055,USA,19523.70778,8.047314037
8/17/20,Wyoming,US,8/18/20 4:30,42.756,-107.3025,3331,30,2699,602,56,575.5418058,60898,195,0.900630441,84000056,USA,10522.16899,5.854097869
8/18/20,Alabama,US,8/19/20 4:30,32.3182,-86.9023,110361,1936,41523,66902,1,2250.802285,868259,12958,1.754242894,84000001,USA,17708.06119,11.74146664
8/18/20,Alaska,US,8/19/20 4:30,61.3707,-152.4044,4371,29,1468,2874,2,597.502546,310009,,0.663463738,84000002,USA,42377.29736,
8/18/20,Arizona,US,8/19/20 4:30,33.7298,-111.4312,194920,4529,28027,162364,4,2677.944478,1103997,20878,2.32351734,84000004,USA,15167.46701,10.71106095
8/18/20,Virginia,US,8/19/20 4:30,37.7693,-78.17,108282,2396,13910,91976,51,1268.604756,1390305,15163,2.212740806,84000051,USA,16288.46471,14.00325077
8/18/20,Washington,US,8/19/20 4:30,47.4009,-121.4905,68263,1808,,66455,53,896.4406985,1017828,6296,2.648579758,84000053,USA,13366.28105,9.223151634
8/18/20,West Virginia,US,8/19/20 4:30,38.4912,-80.9545,8738,162,6737,1839,54,487.571611,365725,,1.85397116,84000054,USA,20407.08714,
8/18/20,Wisconsin,US,8/19/20 4:30,44.2685,-89.6165,66196,1039,57382,7775,55,1136.912844,1146821,5380,1.569581244,84000055,USA,19696.59081,8.127379298
8/18/20,Wyoming,US,8/19/20 4:30,42.756,-107.3025,3360,30,2759,571,56,580.552527,62441,193,0.892857143,84000056,USA,10788.77391,5.744047619
